Symbol,Name,LastSale,MarketCap,Sector,Industry
KOOL,Cesca Therapeutics Inc.,4.13,30983.26,Capital Goods,Medical Specialities
PRGN,Paragon Shipping Inc.,1.8,31343.4,Transportation,Marine Transportation
DRWIW,DragonWave Inc,0.006,47782.5,Public Utilities,Telecommunications Equipment
AMDA,Amedica Corporation,2.05,93289.35,Health Care,Medical/Dental Instruments
OMEX,"Odyssey Marine Exploration, Inc.",5.01,260344.65,Consumer Services,Marine Transportation
VXUP,AccuShares Spot CBOE VIX Up Shares,7.7254,328329.5,n/a,n/a
OPHC,"OptimumBank Holdings, Inc.",5.04,483532.56,Finance,Major Banks
TVIZ,region,13.897,590511.324,Finance,Investment Bankers/Brokers/Service
SRF,Cushing Energy Income Fund (The),7.57,727984.19,n/a,n/a
DSCO,"Discovery Laboratories, Inc.",1.58,903383.96,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SGOC,"SGOCO Group, Ltd",3.3001,907263.492,Technology,Radio And Television Broadcasting And Communications Equipment
URRE,"Uranium Resources, Inc.",3.1,1113520,Basic Industries,Precious Metals
SKLN,Skyline Medical Inc.,0.216,1123940.448,Health Care,Industrial Specialties
QKLS,"QKL Stores, Inc.",0.7499,1141592.267,Consumer Services,Food Chains
XGTI,"XG Technology, Inc",0.0996,1428549.254,Consumer Durables,Telecommunications Equipment
DFVS,region,29.36,1482680,Finance,Commercial Banks
GLBS,Globus Maritime Limited,0.1592,1633878.993,Transportation,Marine Transportation
CYCCP,"Cyclacel Pharmaceuticals, Inc.",5.25,1760183.25,Health Care,Major Pharmaceuticals
GNOW,American Caresource Holdings Inc,0.29,2016744.97,Health Care,Hospital/Nursing Management
VIIZ,region,16.19,2023750,Finance,Investment Bankers/Brokers/Service
DFVL,region,68.14,2044200,Finance,Commercial Banks
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,23.6499,2364990,n/a,n/a
YLCO,Global X Yieldco Index ETF,10.5335,2633375,n/a,n/a
SRET,Global X SuperDividend REIT ETF,13.524,2704800,n/a,n/a
FBZ,First Trust Brazil AlphaDEX Fund,10.9922,2748071.984,n/a,n/a
SHIP,Seanergy Maritime Holdings Corp,3.4999,2784418.943,Transportation,Marine Transportation
ATV,"Acorn International, Inc.",4.67,2908816.91,Consumer Services,Other Specialty Stores
DRAM,Dataram Corporation,0.7409,3051881.199,Technology,Electronic Components
CRDC,"Cardica, Inc.",3.49,3106749.14,Health Care,Medical/Dental Instruments
VRTB,"Vestin Realty Mortgage II, Inc.",1.2572,3132371.631,Consumer Services,Real Estate Investment Trusts
CADC,"China Advanced Construction Materials Group, Inc.",1.52,3314814.48,Basic Industries,Engineering & Construction
WPCS,WPCS International Incorporated,1.25,3357025,Consumer Services,Telecommunications Equipment
VXDN,AccuShares Spot CBOE VIX Down Shares,7.9899,3395707.5,n/a,n/a
HMNY,Helios and Matheson Analytics Inc,1.52,3542265.76,Consumer Services,Other Consumer Services
FKO,First Trust South Korea AlphaDEX Fund,24.61,3691549.22,n/a,n/a
CERE,"Ceres, Inc.",0.262,3847653.4,Consumer Non-Durables,Farming/Seeds/Milling
FTAG,First Trust Indxx Global Agriculture ETF,4.09,3885508.18,n/a,n/a
SPEX,Spherix Incorporated,2.2,3990038.8,Miscellaneous,Multi-Sector Companies
CLRB,"Cellectar Biosciences, Inc.",4.82,4135622.66,Health Care,Major Pharmaceuticals
PRZM,"Prism Technologies Group, Inc.",0.411,4140285.768,Miscellaneous,Business Services
CBMX,CombiMatrix Corporation,4.88,4156198.4,Health Care,Hospital/Nursing Management
IDXG,"Interpace Diagnostics Group, Inc.",0.2502,4184354.057,Miscellaneous,Business Services
TLOG,TetraLogic Pharmaceuticals Corporation,0.17,4210744.11,Health Care,Major Pharmaceuticals
NFEC,NF Energy Saving Corporation,0.6502,4260948.508,Capital Goods,Metal Fabrications
BLIN          ,"Bridgeline Digital, Inc.",0.8098,4313492.827,Technology,Computer Software: Prepackaged Software
CALI,China Auto Logistics Inc.,1.0738,4332132.277,Consumer Services,Motor Vehicles
ZBIO,ProShares UltraPro Short NASDAQ Biotechnology,43.57,4357000,n/a,n/a
FLN,First Trust Latin America AlphaDEX Fund,14.5619,4368599.124,n/a,n/a
VIIX,region,26.32,4420865.12,Finance,Investment Bankers/Brokers/Service
DLBL,region,78.5,4423946,Finance,Commercial Banks
JGBB,WisdomTree Japan Interest Rate Strategy Fund,45.36,4536000,n/a,n/a
BSPM,"Biostar Pharmaceuticals, Inc.",2.0862,4612323.253,Health Care,Major Pharmaceuticals
DTUL,region,65.07,4654652.31,Finance,Commercial Banks
UBND,WisdomTree Western Asset Unconstrained Bond Fund,46.9983,4699923.997,n/a,n/a
CCCR,"China Commercial Credit, Inc.",0.38,4708223.56,Finance,Major Banks
OPTT,"Ocean Power Technologies, Inc.",2.47,4783898.47,Public Utilities,Electric Utilities: Central
NAKD,Naked Brand Group Inc.,2.75,4826263.75,Consumer Non-Durables,Apparel
FTLB,First Trust Low Beta Income ETF,19.68,4920039.36,n/a,n/a
LDRI,PowerShares LadderRite 0-5 Year Corporate Bond Portfolio,25,5000000,n/a,n/a
CLNT,"Cleantech Solutions International, Inc.",1.2813,5053429.262,Technology,Industrial Machinery/Components
TOPS,TOP Ships Inc.,2.47,5137597.53,Transportation,Marine Transportation
TAIT,Taitron Components Incorporated,0.93,5151973.08,Consumer Non-Durables,Electronic Components
FLAT,region,62.34,5174220,Finance,Commercial Banks
SINO,"Sino-Global Shipping America, Ltd.",0.61,5258713.01,Transportation,Oil Refining/Marketing
LGCYP,Legacy Reserves LP,2.67,5340000,Energy,Oil & Gas Production
TCCO,Technical Communications Corporation,2.9374,5404454.7,Technology,Radio And Television Broadcasting And Communications Equipment
AHPI,"Allied Healthcare Products, Inc.",0.68,5458459.96,Health Care,Industrial Specialties
SGNL,"Signal Genetics, Inc.",0.52,5530436.08,Health Care,Medical Specialities
MYOS,MYOS Corporation,1.69,5615716.21,Health Care,Major Pharmaceuticals
QBAK,Qualstar Corporation,0.461,5648686.937,Technology,Electronic Components
RADA,Rada Electronics Industries Limited,0.36,5723627.4,Consumer Non-Durables,Electronic Components
MTSL,MER Telemanagement Solutions Ltd.,0.72,5791233.6,Public Utilities,Telecommunications Equipment
DTYL,region,80.6,5803200,Finance,Commercial Banks
CHCI,"Comstock Holding Companies, Inc.",1.7399,5866072.85,Capital Goods,Homebuilding
FTHI,First Trust High Income ETF,19.95,5985039.9,n/a,n/a
ARCI,"Appliance Recycling Centers of America, Inc.",1.0184,6009393.051,Consumer Services,Home Furnishings
LLEX,"Lilis Energy, Inc.",0.22,6059342.52,Energy,Oil & Gas Production
NRX,"NephroGenex, Inc.",0.47,6083923.46,Health Care,Major Pharmaceuticals
TUSA,First Trust Total US Market AlphaDEX ETF,24.4134,6103398.827,n/a,n/a
CDOR,"Condor Hospitality Trust, Inc.",1.24,6121942,Consumer Services,Real Estate Investment Trusts
CLWT,Euro Tech Holdings Company Limited,3,6187227,Consumer Durables,Diversified Electronic Products
ESMC,Escalon Medical Corp.,0.8308,6252958.044,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MPET,Magellan Petroleum Corporation,1.11,6396523.74,Energy,Oil & Gas Production
THST,"Truett-Hurst, Inc.",1.53,6430984.74,Consumer Non-Durables,Beverages (Production/Distribution)
GEVO,"Gevo, Inc.",0.385,6525338.82,Basic Industries,Major Chemicals
LBIX,Leading Brands Inc,2.29,6574896.86,Consumer Non-Durables,Beverages (Production/Distribution)
CRDS,"Crossroads Systems, Inc.",0.2697,6610194.62,Technology,Computer peripheral equipment
LPTN,"Lpath, Inc.",0.21,6805400.91,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SMIT,"Schmitt Industries, Inc.",2.31,6920552.1,Capital Goods,Industrial Machinery/Components
NURO,"NeuroMetrix, Inc.",1.73,7006166.11,Health Care,Medical/Dental Instruments
SALT,Scorpio Bulkers Inc.,2.95,7046464.4,Transportation,Marine Transportation
DCTH,"Delcath Systems, Inc.",0.3299,7179901.373,Health Care,Medical/Dental Instruments
CFA,Victory CEMP US 500 Volatility Wtd Index ETF,36.1485,7229700,n/a,n/a
DRWI,DragonWave Inc,2.4,7248165.6,Public Utilities,Telecommunications Equipment
TSRI,"TSR, Inc.",3.7089,7277091.752,Technology,EDP Services
CRDT,WisdomTree Strategic Corporate Bond Fund,72.95,7295000,n/a,n/a
DGLD,region,53.68,7301016.8,Finance,Investment Bankers/Brokers/Service
IPDN,"Professional Diversity Network, Inc.",0.5,7316909.5,Technology,"Computer Software: Programming, Data Processing"
BNSO,"Bonso Electronics International, Inc.",1.41,7398133.23,Capital Goods,Industrial Machinery/Components
USATP,"USA Technologies, Inc.",16.88,7512663.44,Miscellaneous,Office Equipment/Supplies/Services
HYND,WisdomTree BofA Merrill Lynch High Yield Bond Negative Duratio,18.83,7532000,n/a,n/a
SKOR,FlexShares Credit-Scored US Corporate Bond Index Fund,50.67,7600550.67,n/a,n/a
SCON,Superconductor Technologies Inc.,0.24,7616563.92,Technology,Radio And Television Broadcasting And Communications Equipment
EBIO,"Eleven Biotherapeutics, Inc.",0.3912,7662542.762,Health Care,Major Pharmaceuticals
COYN,"COPsync, Inc.",1.82,7664294.82,Technology,Computer Communications Equipment
CETC,Hongli Clean Energy Technologies Corp.,0.32,7667269.44,Basic Industries,Steel/Iron Ore
ETRM,EnteroMedics Inc.,1.09,7732051.25,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
RCON,"Recon Technology, Ltd.",1.34,7777366.7,Energy,Oilfield Services/Equipment
LEDS,SemiLEDS Corporation,0.27,7844089.95,Technology,Semiconductors
NADL,North Atlantic Drilling Ltd.,3.26,7861252.02,Energy,Oil & Gas Production
INVT,"Inventergy Global, Inc.",1.88,7937521.68,Public Utilities,Telecommunications Equipment
CCCL,"China Ceramics Co., Ltd.",0.39,7968026.82,Capital Goods,Building Materials
FDTS,First Trust Developed Markets ex-US Small Cap AlphaDEX Fund,32.05,8012564.1,n/a,n/a
RNVA,"Rennova Health, Inc.",0.5902,8124324.325,Technology,EDP Services
FFHL,"Fuwei Films (Holdings) Co., Ltd.",0.6282,8205862.5,Capital Goods,Specialty Chemicals
DELT,Delta Technology Holdings Limited,0.86,8227649.24,Basic Industries,Major Chemicals
DYNT,Dynatronics Corporation,3.09,8473876.95,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SLVO,region,10.003,8502550,Finance,Investment Bankers/Brokers/Service
YGE,Yingli Green Energy Holding Company Limited,4.7,8542898.6,Technology,Semiconductors
BICK,First Trust BICK Index Fund,19.01,8554538.02,n/a,n/a
APPY,"Venaxis, Inc.",0.277,8584238.033,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
EEML,iShares MSCI Emerging Markets Latin America Index Fund,28.63,8589000,n/a,n/a
GLRI,Glori Energy Inc,0.27,8602566.39,Energy,Oil & Gas Production
WGBS,"WaferGen Bio-systems, Inc.",0.5985,8652306.821,Capital Goods,Biotechnology: Laboratory Analytical Instruments
FES,Forbes Energy Services Ltd,0.3906,8675364.663,Energy,Oilfield Services/Equipment
GBIM,"GlobeImmune, Inc.",1.56,8972455.44,Health Care,Major Pharmaceuticals
COOL,Majesco Entertainment Company,0.7535,8978558.314,Technology,Computer Software: Prepackaged Software
RGSE,"Real Goods Solar, Inc.",0.74,9097861.18,Basic Industries,Engineering & Construction
FTW,First Trust Taiwan AlphaDEX Fund,30.396,9118860.792,n/a,n/a
FCAN,First Trust Canada AlphaDEX Fund,23.048,9219246.096,n/a,n/a
UBIO,Proshares UltraPro Nasdaq Biotechnology,20.37,9370200,n/a,n/a
DDAY,"DraftDay Fantasy Sports, Inc.",0.2801,9492877.503,Technology,"Computer Software: Programming, Data Processing"
TBIO,"Transgenomic, Inc.",0.69,9601826.79,Capital Goods,Biotechnology: Laboratory Analytical Instruments
TIL,Till Capital Ltd.,2.8201,9670923.808,Finance,Property-Casualty Insurers
